Word,Meaning
私,"I, me"
は,indicates sentence topic
昨日,yesterday
東京,Tokyo
で,"coming out, going out, outflow, efflux, rising (of the Sun or the Moon)"
美味しい,"good(-tasting), nice, delicious, tasty"
寿司,"sushi, range of dishes made with vinegared rice combined with fish, vegetables, egg, etc."
を,indicates direct object of action
食べ,food
まし,"better, preferable, less objectionable, least-worst"
た,rice field
の,indicates possessive
天気,weather
も,"too, also, in addition, as well, (not) either (in a negative sentence)"
良かっ,if you like
です,"be, is"
